2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 49, oldScore: 4.74E-4, newScore: 0.04246980186737963, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 48, oldScore: 1.704E-4, newScore: 2.140757574794076E-4, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 55, oldScore: 4.791E-4, newScore: 4.791348531098559E-4, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 53, oldScore: 0.0011225, newScore: 0.001999460689232951, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 59, oldScore: 0.0037066, newScore: 0.9999999985546004, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: U1tQCkb0ENXV0vvLxyFxEvsgu/k=, modelId: 60, oldScore: 1.408E-4, newScore: 1.408041255287359E-4, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: SCOM
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: ARtSycV4JtcmALXeNZ4fwRtHSDs=, modelId: 68, oldScore: 0.0043333, newScore: 0.09203139777222678, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: KPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: ARtSycV4JtcmALXeNZ4fwRtHSDs=, modelId: 1, oldScore: 7.11E-5, newScore: 0.008791409025337236, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: KPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: ARtSycV4JtcmALXeNZ4fwRtHSDs=, modelId: 2, oldScore: 0.0012572, newScore: 0.03209728916526135, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: KPOS
2015-02-16 23:37:28 a.b.LoggingBolt [INFO] PERSIST: Mon Feb 16 23:37:28 EST 2015: Topology: Changes Scores : lid: ARtSycV4JtcmALXeNZ4fwRtHSDs=, modelId: 4, oldScore: 0.0011275, newScore: 0.18104044187112303, minExpiry: 02/18/2015, maxExpiry: 02/18/2015, source: KPOS
